description,ids
Dityromycin,"274,1931"
E-site tRNAAla(GGC),300852
P-site tRNAfMet,300852
E-site tRNAAla(GGC),300852
mRNA,300852
P-site tRNAfMet,300852
A-site tRNAAla(GGC),300852
A-site tRNAAla(GGC),300852
mRNA,300852
tRNAfMet,"83333,469008"
mRNA,"83333,469008"
mRNA,300852
P-site tRNA-Pro,300852
P-site tRNA-Pro,300852
mRNA,300852
mRNA,83333
tRNAPhe,83333
tRNAfMet,83333
tRNA-fMet,93061
Ribosome hibernation promoting factor,1280
Cytoplasmic 60S subunit biogenesis factor REH1,4932
Eukaryotic translation initiation factor 6,4932
Nicalin,9606
tRNA,9606
tRNA,9606
mitochondrial tRNAVal,"9606,469008"
mRNA,300852
mRNA,300852
"Ribosome-recycling factor, mitochondrial",9606
tRNAVAL,9606
ribosome recycling factor,"83333,511693"
messenger RNA,"83333,511693"
phenylalanine specific transfer RNA,"83333,511693"
messenger RNA,"83333,511693"
phenylalanine specific transfer RNA,"83333,511693"
Elongation factor G,"300852,562"
PE hybrid state tRNA Phe,"300852,562"
mRNA,"300852,562"
Translation initiation factor RLI1,559292
Eukaryotic translation initiation factor 3 subunit J,559292
Eukaryotic translation initiation factor 3 subunit J,559292
Val tRNA,9986
Ribosome hibernation promoting factor,1280
ELONGATION FACTOR TU,300852
A-SITE TRNA G24A TRP-TRNA TRP,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
Cathelicidin-3,"300852,562,9913"
Cathelicidin-3,"300852,562,9913"
P-site tRNA,"300852,562,9913"
mRNA,"300852,562,9913"
P-site tRNA,"300852,562,9913"
mRNA,"300852,562,9913"
P-site tRNA fMet,562
mRNA,562
Alternative ribosome-rescue factor A,562
Peptide chain release factor 2,562
Elongation factor G,562
mRNA,562
P/E-tRNA,562
"P-site fMet-tRNAMet, mitochondrial","9823,9606,562"
"tRNA-Phe, mitochondrial","9823,9606,562"
"MT-CO3 mRNA, mitochondrial","9823,9606,562"
P-site tRNA,"300852,562"
E-site tRNA,"300852,562"
mRNA,"300852,562"
tRNA-Val,562
tRNA-Met,562
mRNA,562
transfer-messenger RNA (tmRNA),562
Bacterial peptide chain release factor 2 (RF-2),274
Bacterial peptide chain release factor 2 (RF-2),274
P AND E-SITE TRNA(FMET),274
MRNA,274
P AND E-SITE TRNA(FMET),274
P AND E-SITE TRNA(FMET),274
P AND E-SITE TRNA(FMET),274
MRNA,274
mRNA,562
P-site fMet-Phe-tRNA(Phe),562
tRNA CCA-end acetylated (Phe),246196
P-site tRNA,300852
mRNA,300852
A-site tRNA,300852
P-site tRNA,300852
mRNA,300852
E-site tRNA,300852
E-site tRNA,300852
A-site tRNA,300852
eukaryotic elongation factor 2 (eEF2),"9986,194966"
P/P-site-tRNA,"9986,194966"
E/E-site-tRNA,"9986,194966"
mRNA,"9986,194966"
Elongation factor G,"300852,469008"
tRNA-Phe,"300852,469008"
mRNA,"300852,469008"
Elongation factor 2,9606
tRNA,9606
mRNA,"300852,469008"
tRNAi,"300852,469008"
Translation initiation factor IF-3,"300852,469008"
tRNAval,9606
mRNA,9606
tRNA,9606
Ribosomal silencing factor RsfS,"1280,469008,93061"
Ribosomal silencing factor RsfS,"1280,469008,93061"
P-site tRNA,"300852,7536"
P-site tRNA,"300852,7536"
mRNA,"300852,7536"
mRNA,"300852,7536"
P-site tRNA,"9986,9606,469008"
E-site tRNA,"9986,9606,469008"
mRNA (UGA stop codon),"9986,9606,469008"
tRNAPhe,562
tRNAfMet,562
tRNAfMet,562
mRNA,562
E-site tRNA Valine,"83333,562"
P-site tRNA Aspartate,"83333,562"
mRNA,"83333,562"
TRNA-FMET,300852
TRNA-FMET,300852
MRNA,300852
MRNA,300852
mRNA 5'-AUG-3',"1144670,480119,1217710,1217649,470,1310637,421052,1144663,1977881,1960940,1310678,52133"
tRNA-met,"1144670,480119,1217710,1217649,470,1310637,421052,1144663,1977881,1960940,1310678,52133"
Peptide chain release factor 2,562
Alternative ribosome-rescue factor A,562
E-site or P-site tRNA fMet,562
mRNA,562
E-site or P-site tRNA fMet,562
P-site tRNA,4932
The A-site tRNA was modeled based on an E. coli tRNA-Lys,4932
Eukaryotic translation initiation factor 5A-1,4932
Ribosome-recycling factor,"300852,469008"
Ribosome-recycling factor,"300852,469008"
mRNA,"300852,469008"
mRNA,"300852,469008"
P-site and E-site tRNAs,"300852,469008"
P-site and E-site tRNAs,"300852,469008"
P-site and E-site tRNAs,"300852,469008"
P-site and E-site tRNAs,"300852,469008"
Metalnikowin I,"300852,83333,469008,55431"
Metalnikowin I,"300852,83333,469008,55431"
Elongation factor G,"262724,1883"
VIOMYCIN,"262724,1883"
Elongation factor G,"262724,1883"
VIOMYCIN,"262724,1883"
transfer RNA,"262724,1883"
messenger RNA,"262724,1883"
transfer RNA,"262724,1883"
messenger RNA,"262724,1883"
messenger RNA,300852
P-site tRNA SufA6,300852
messenger RNA,300852
P-site tRNA SufA6,300852
mRNA,"272844,562,273057"
initiator Met-tRNA fMet from E. coli (A1U72 variant),"272844,562,273057"
"Ubiquitin, putative",5722
P-site tRNA-fMet,"300852,585,562"
CC-puromycin,"300852,585,562"
messenger RNA,"300852,585,562"
messenger RNA,"300852,585,562"
CC-puromycin,"300852,585,562"
P-site tRNA-fMet,"300852,585,562"
Elongation factor G,"83333,866768"
mRNA,"83333,866768"
tRNAPro,"83333,866768"
tRNAfMet,"83333,866768"
initiator Met-tRNA fMet from E. coli (A1U72 variant),"272844,562"
Translation initiation factor 1A,"272844,562"
"Ribosome-binding factor PSRP1, chloroplastic",3562
tRNA-Phe,3562
A-tRNA (Arg),562
P-tRNA (leu),562
mRNA,562
Elongation factor Tu 2,83333
tRNAfMet,83333
tRNALys,83333
mRNA,83333
tRNAfMet,83333
Ribosome production factor 1,1247190
Eukaryotic translation initiation factor 6,1247190
MRNA,562
PHE TRNA (UNMODIFIED BASES),562
MRNA,562
PHE TRNA (UNMODIFIED BASES),562
A-site and E-site tRNAs,300852
P-site tRNA,300852
mRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
mRNA,300852
tRNAPhe,562
HIV1 frameshift stimulating sequence mRNA,562
"Translation initiation factor IF-3, mitochondrial",9606
Oncocin,"300852,7536"
Oncocin,"300852,7536"
Initiator Methionine tRNA,"300852,7536"
mRNA,"300852,7536"
Initiator Methionine tRNA,"300852,7536"
mRNA,"300852,7536"
Eukaryotic peptide chain release factor subunit 1,"9986,9606,469008"
mRNA (UGA stop codon),"9986,9606,469008"
E-site tRNA,"9986,9606,469008"
P-site tRNA,"9986,9606,469008"
E-site tRNA,9606
Endothelial differentiation-related factor 1,9606
mRNA,224308
P-tRNA,224308
Elongation factor G,"262724,1883"
Elongation factor G,"262724,1883"
VIOMYCIN,"262724,1883"
VIOMYCIN,"262724,1883"
messenger RNA,"262724,1883"
transfer RNA,"262724,1883"
transfer RNA,"262724,1883"
messenger RNA,"262724,1883"
Bystin,9606
P-tRNAfMet,246196
tRNA-Phe,300852
mRNA,300852
tRNA-Phe,300852
tRNA-Phe,300852
tRNA-Phe,300852
mRNA,300852
tRNA-Phe,300852
tRNA-Phe,300852
P-site tRNA CHAIN,93061
mRNA,93061
E-site tRNA CHAIN,93061
"Elongation factor G, mitochondrial",9606
tRNAval,9606
transfer-messenger RNA (tmRNA),"300852,562,262724"
tRNA-Phe,"300852,562,262724"
tRNA-fMet,"300852,562,262724"
mRNA,"300852,562,262724"
tRNA,83333
mRNA,83333
tRNA,83333
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
P-site tRNA-fMet,"300852,562"
P-site tRNA-fMet,"300852,562"
P-site tRNA-fMet,"300852,562"
P-site tRNA-fMet,"300852,562"
mRNA,"300852,562"
mRNA,"300852,562"
Elongation factor G,262724
Elongation factor G,262724
messenger RNA,262724
messenger RNA,262724
transfer RNA,262724
transfer RNA,262724
A-site and E-site tRNAs,300852
P-site tRNA,300852
mRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
P-site tRNA,"300852,469008"
mRNA,"300852,469008"
mRNA,"300852,469008"
A-site tRNA,"300852,469008"
E-site tRNA,"300852,469008"
A-site tRNA,"300852,469008"
E-site tRNA,"300852,469008"
P-site tRNA,"300852,469008"
"P-site tRNA, Deacylated Initiator Methionyl-tRNA",274
"P-site tRNA, Deacylated Initiator Methionyl-tRNA",274
mRNA,274
mRNA,274
Elongation factor Tu,"83333,562"
mRNA,"83333,562"
tRNAfMet,"83333,562"
tRNAfMet,"83333,562"
tRNAPhe,"83333,562"
E-site tRNA,36329
E-site tRNA,575584
E-site tRNA,575584
tRNAfMet,83333
tRNAPhe,83333
mRNA,83333
tRNAfMet,83333
CCA 3' end of E-site tRNASec (low occupancy),562
tRNAfMet,562
fMetSec-tRNASec,562
SECIS mRNA,562
Eukaryotic translation initiation factor 6,559292
Ribosome assembly factor MRT4,559292
mRNA,300852
E-site tRNA-Pro,300852
mRNA,300852
E-site tRNA-Pro,300852
Elongation factor G,"83333,866768"
tRNAPro,"83333,866768"
mRNA,"83333,866768"
tRNAfMet,"83333,866768"
Alternative stalled-ribosome rescue factor B,"562,7460"
mRNA,"562,7460"
P/E-site tRNAPhe,"562,7460"
Capreomycin,"1773,67351"
Mitochondrial domain of uncharacterised function (DUF1713),"1773,67351"
eukaryotic elongation factor 2 (eEF2),9986
mRNA,9986
ap/P-site tRNA,9986
pe/E-site-tRNA,9986
E site tRNA (75-MER),9606
tRNA (76-MER),559292
tRNA (75-MER),559292
"Midasin,Midasin","759272,469008"
P-site tRNA,9606
mRNA,9606
mitochondrial tRNAVal,9606
A-site tRNA,9606
mRNA,9606
tRNA,9606
tRNA,9606
P-site tRNAfMet,"83333,511693"
A-site tRNAPhe,"83333,511693"
E-site tRNAfMet,"83333,511693"
mRNA,"83333,511693"
mt-tRNA,"9606,262724"
mt-tRNA,"9606,262724"
mt-tRNAVal,"9606,262724"
P-site tRNA,300852
mRNA,300852
E-site tRNA Acceptor Stem,300852
E-site tRNA Acceptor Stem,300852
mRNA,300852
P-site tRNA,300852
E-SITE TRNA ILE2 AGMATIDINE OR P-SITE TRNA ILE2 AGMATIDINE,300852
E-SITE TRNA ILE2 AGMATIDINE OR P-SITE TRNA ILE2 AGMATIDINE,300852
A-SITE TRNA ILE2 AGMATIDINE,300852
E-SITE TRNA ILE2 AGMATIDINE OR P-SITE TRNA ILE2 AGMATIDINE,300852
E-SITE TRNA ILE2 AGMATIDINE OR P-SITE TRNA ILE2 AGMATIDINE,300852
A-SITE TRNA ILE2 AGMATIDINE,300852
MRNA,300852
MRNA,300852
P-site tRNA-fMet,262724
messenger RNA (5'-R(*AP*AP*UP*GP*UP*AP*G)-3'),262724
messenger RNA (5'-R(*AP*AP*UP*GP*UP*AP*G)-3'),262724
P-site tRNA-fMet,262724
tRNA-met,480119
mRNA,480119
P-site tRNA-fMet,300852
messenger RNA,300852
messenger RNA,300852
P-site tRNA-fMet,300852
Peptide chain release factor 2,562
Alternative ribosome-rescue factor A,562
mRNA,562
fMet-NH-tRNA(fMet),562
tRNAThr,300852
tRNAThr,300852
tRNAThr,300852
tRNAfMet,300852
tRNAfMet,300852
tRNAThr,300852
tRNA fMet,300852
tRNA fMet,300852
tRNA fMet,300852
messenger RNA,300852
tRNA fMet,300852
messenger RNA,300852
Ribosome hibernation promotion factor,"93061,511693"
